reference,date,repository,filename,score,value,comment_cleaned,sentiment
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/optional/Script.java,3.0,1,defines language required param msg sets value script variable defines the language required param msg set the value for the script variable,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/Jar.java,4.5,1,store directories one cause lot problems stored zipmode that's i've removed stefan bodewig we don't store directory at all and this one will cause a lot of problem with stored zipmode that's why i've removed it stefan bodewig,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/Taskdef.java,5.64,1,revisit right thing do? moved body execute init revisit is this the right thing to do? i moved the body of execute into init,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/Location.java,5.0,1,returns file name line number trailing space error message appended easily unknown locations returns empty string return the file name line number and a trailing space an error message can be appended easily for unknown location return an empty string,-1
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java,5.5,1,task process via xslt set xml documents useful building views xml based documentation arguments <ul> basedir destdir style includes excludes <ul> arguments <b>sourcedir<b> <b>destdir<b> required task recursively scan sourcedir destdir looking xml documents process via xslt files images html files source directory copied destination directory author <a href mailtokviscoexofficecom>keith visco<a> author <a href mailtorubysusibmcom>sam ruby<a> version $revision$ $date$ a task to process via xslt a set of xml document this is useful for building view of xml based documentation argument <ul> basedir destdir style includes excludes <ul> of these argument the <b>sourcedir<b> and <b>destdir<b> are required this task will recursively scan the sourcedir and destdir looking for xml document to process via xslt any other file such a image or html file in the source directory will be copied into the destination directory author <a href mailtokviscoexofficecom>keith visco<a> author <a href mailtorubysusibmcom>sam ruby<a> version $revision$ $date$,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/com/oreilly/servlet/MailMessage.java,6.25,1,note code mirrored httpservletscom updates done conjunction servletscom larger comoreillyservlet project note this code is mirrored from httpservletscom update should be done in conjunction with servletscom and the larger comoreillyservlet project,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/CompileTask.java,3.0,1,task compile load new taskdef one step times useful eliminating ordering dependencies otherwise would require multiple executions ant author sam ruby <a href mailtorubysusibmcom>rubysusibmcom<a> this task will compile and load a new taskdef all in one step at time this is useful for eliminating ordering dependency which otherwise would require multiple execution of ant author sam ruby <a href mailtorubysusibmcom>rubysusibmcom<a>,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/Main.java,2.0,1,set properties used tasks set of property that can be used by task,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/Project.java,2.0,1,set default value changed user set default value can be changed by the user,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/Zip.java,8.64,1,xxx zipoutputstreamputentry expects zipentry know size crc sum start writing data using stored mode forces us process data twice find documentation found try error xxx zipoutputstreamputentry expects the zipentry to know it size and the crc sum before you start writing the data when using stored mode this force u to process the data twice i couldn't find any documentation on this just found out by try and error,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/Task.java,11.0,1,sets project object task method used project task added task access functions project used purpose param project project whose scope task belongs set the project object of this task this method is used by project when a task is added to it so that the task ha access to the function of the project it should not be used for any other purpose param project project in whose scope this task belongs,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/PathTokenizer.java,0.0,1,path tokenizer takes path returns components make path path use path separators either '' '' file separators either '' '' author conor macneill conorieeeorg a path tokenizer take a path and return the component that make up that path the path can use path separator of either '' or '' and file separator of either '' or '' author conor macneill conorieeeorg,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/Property.java,5.64,1,set project property used hack projecthelper override values set command line parent projects author costindntro author sam ruby <rubysusibmcom> author glenn mcallister <glennmcaibmcom> will set a project property used to be a hack in projecthelper will not override value set by the command line or parent project author costindntro author sam ruby <rubysusibmcom> author glenn mcallister <glennmcaibmcom>,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/Javac.java,5.5,1,task compile java source files task take following arguments <ul> sourcedir destdir deprecation classpath bootclasspath extdirs optimize debug target <ul> arguments <b>sourcedir<b> <b>destdir<b> required task executes recursively scan sourcedir destdir looking java source files compile task makes compile decision based timestamp file sourcedir copied destdir allowing support files located properly classpath author james davidson <a href mailtoduncanx180com>duncanx180com<a> author robin green <a href mailtogreenrdhotmailcom>greenrdhotmailcom<a> task to compile java source file this task can take the following argument <ul> sourcedir destdir deprecation classpath bootclasspath extdirs optimize debug target <ul> of these argument the <b>sourcedir<b> and <b>destdir<b> are required when this task executes it will recursively scan the sourcedir and destdir looking for java source file to compile this task make it compile decision based on timestamp any other file in the sourcedir will be copied to the destdir allowing support file to be located properly in the classpath author james davidson <a href mailtoduncanx180com>duncanx180com<a> author robin green <a href mailtogreenrdhotmailcom>greenrdhotmailcom<a>,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/optional/ejb/DDCreator.java,3.0,1,classpath used weblogic ejbc calls must contain weblogic classes necessary fro ddcreator <b>and<b> implementation classes home remote interfaces the classpath to be used in the weblogic ejbc call it must contain the weblogic class necessary fro ddcreator <b>and<b> the implementation class of the home and remote interface,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/optional/NetRexxC.java,5.5,1,task compile netrexx source files task take following arguments <ul> binary classpath comments compile console crossref decimal destdir diag explicit format keep logo replace savelog srcdir sourcedir strictargs strictassign strictcase strictimport symbols time trace utf8 verbose <ul> arguments <b>srcdir<b> argument required task executes recursively scan srcdir looking netrexx source files compile task makes compile decision based timestamp files compiled file srcdir copied destdir allowing support files located properly classpath reason copying source files compile netrexxc two destinations classfiles current directory directory source see sourcedir option author dion gillard <a href mailtodionmultitaskcomau>dionmultitaskcomau<a> task to compile netrexx source file this task can take the following argument <ul> binary classpath comment compile console crossref decimal destdir diag explicit format keep logo replace savelog srcdir sourcedir strictargs strictassign strictcase strictimport symbol time trace utf8 verbose <ul> of these argument the <b>srcdir<b> argument is required when this task executes it will recursively scan the srcdir looking for netrexx source file to compile this task make it compile decision based on timestamp before file are compiled they and any other file in the srcdir will be copied to the destdir allowing support file to be located properly in the classpath the reason for copying the source file before the compile is that netrexxc ha only two destination for classfiles the current directory and the directory the source is in see sourcedir option author dion gillard <a href mailtodionmultitaskcomau>dionmultitaskcomau<a>,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/Expand.java,3.0,1,work exception buildexception thrown unrecoverable error do the work exception buildexception thrown in unrecoverable error,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/tar/TarEntry.java,6.5,1,class represents entry tar archive consists entry's header well entry's file entries instantiated one three ways depending used tarentries created header bytes read archive instantiated tarentry byte constructor entries used extracting listing contents archive entries header filled using header bytes also set file null since reference archive entry file tarentries created files written archive instantiated tarentry file constructor entries header filled using file's information also keep reference file convenience writing entries finally tarentries constructed nothing name allows programmer construct entry hand instance inputstream available writing archive header information constructed information case header fields set defaults file set null c structure tar entry's header struct header char name namsiz char mode 8 char uid 8 char gid 8 char size 12 char mtime 12 char chksum 8 char linkflag char linkname namsiz char magic 8 char uname tunmlen char gname tgnmlen char devmajor 8 char devminor 8 header author timothy gerard endres <a href mailtotimeicecom>timeicecom<a> author stefano mazzocchi <a href mailtostefanoapacheorg>stefanoapacheorg<a> this class represents an entry in a tar archive it consists of the entry's header a well a the entry's file entry can be instantiated in one of three way depending on how they are to be used tarentries that are created from the header byte read from an archive are instantiated with the tarentry byte constructor these entry will be used when extracting from or listing the content of an archive these entry have their header filled in using the header byte they also set the file to null since they reference an archive entry not a file tarentries that are created from file that are to be written into an archive are instantiated with the tarentry file constructor these entry have their header filled in using the file's information they also keep a reference to the file for convenience when writing entry finally tarentries can be constructed from nothing but a name this allows the programmer to construct the entry by hand for instance when only an inputstream is available for writing to the archive and the header information is constructed from other information in this case the header field are set to default and the file is set to null the c structure for a tar entry's header is struct header char name namsiz char mode 8 char uid 8 char gid 8 char size 12 char mtime 12 char chksum 8 char linkflag char linkname namsiz char magic 8 char uname tunmlen char gname tgnmlen char devmajor 8 char devminor 8 header author timothy gerard endres <a href mailtotimeicecom>timeicecom<a> author stefano mazzocchi <a href mailtostefanoapacheorg>stefanoapacheorg<a>,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/KeySubst.java,2.5,1,format string like name valuename2 value names case sensitive use setsep method change something elseif need use name value format string is like this name valuename2 value name are case sensitive use the setsep method to change the to something elseif you need to use a a name or value,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSS.java,2.0,1,base class creating tasks executing commands visual sourcesafe class extends 'exec' task operates executing ssexe program supplied sourcesafe default task expects ssexe path override specifying ssdir attribute class provides set get methods 'login' 'vsspath' attributes also contains constants flags passed ss author craig cottingham author andrew everitt a base class for creating task for executing command on visual sourcesafe the class extends the 'exec' task a it operates by executing the ssexe program supplied with sourcesafe by default the task expects ssexe to be in the path you can override this be specifying the ssdir attribute this class provides set and get method for 'login' and 'vsspath' attribute it also contains constant for the flag that can be passed to s author craig cottingham author andrew everitt,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/optional/ejb/EjbJar.java,8.0,1,provides automated ejb jar file creation ant extends matchingtask class provided default ant distribution provide directory scanning ejb jarfile generator task works taking deployment descriptors one time parsing locate names classes placed jar classnames translated javaiofiles replacing periods fileseparatorchar resolving generated filename relative path srcdir attribute necessary files assembled jarfile one jarfile constructed deployment descriptor found functionality currently provided standard ejb11 jars weblogic 51 jars weblogic deployment descriptors used constructing weblogic jar located based simple naming convention name standard deployment descriptor taken upto first instance string specified attribute basenameterminator regular weblogic descriptor name appended example basenameterminator set '' default value standard descriptor called fooejbjarxml files fooweblogicejbjarxml fooweblogiccmprdbmsjarxml looked found included jarfile attributes setter methods provided support optional generation weblogic51 jars optional deletion generic jar files setting alternate values basenameterminator setting strings append names generated jarfiles author <a href mailtotfennellsapientcom>tim fennell<a> provides automated ejb jar file creation for ant extends the matchingtask class provided in the default ant distribution to provide a directory scanning ejb jarfile generator the task work by taking the deployment descriptor one at a time and parsing them to locate the name of the class which should be placed in the jar the classnames are translated to javaiofiles by replacing period with fileseparatorchar and resolving the generated filename a a relative path under the srcdir attribute all necessary file are then assembled into a jarfile one jarfile is constructed for each deployment descriptor found functionality is currently provided for standard ejb11 jar and weblogic 51 jar the weblogic deployment descriptor used in constructing the weblogic jar are located based on a simple naming convention the name of the standard deployment descriptor is taken upto the first instance of a string specified by the attribute basenameterminator and then the regular weblogic descriptor name is appended for example if basenameterminator is set to '' it default value and a standard descriptor is called fooejbjarxml then the file fooweblogicejbjarxml and fooweblogiccmprdbmsjarxml will be looked for and if found included in the jarfile attribute and setter method are provided to support optional generation of weblogic51 jar optional deletion of generic jar file setting alternate value for basenameterminator and setting the string to append to the name of the generated jarfiles author <a href mailtotfennellsapientcom>tim fennell<a>,0
rel/1.1,2000-07-18,5a9494c6b8a9f924e3b18e1f,src/main/org/apache/tools/ant/taskdefs/optional/ejb/Ejbc.java,3.0,1,work work actually done creating separate jvm run helper task approach allows classpath helper task set since weblogic tools require class files project's home remote interfaces available classpath also avoids start ant class path project building exception buildexception someting goes wrong build do the work the work is actually done by creating a separate jvm to run a helper task this approach allows the classpath of the helper task to be set since the weblogic tool require the class file of the project's home and remote interface to be available in the classpath this also avoids having to start ant with the class path of the project it is building exception buildexception if someting go wrong with the build,0
