reference,date,repository,filename,score,value,comment_cleaned,sentiment
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,2.0,1,inlined due limitation VAJavaActiveTestSuitesuperrunTest test result inlined due to limitation in VAJavaActiveTestSuitesuperrunTest test result,0
r4.6,2009-04-14,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r4.7,2009-07-28,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r4.8,2009-12-01,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r4.9,2011-08-22,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r4.10,2011-09-29,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r4.11,2012-11-13,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r4.12,2014-12-04,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
master,2018-02-21,5a932d02b8a9f956ba503603,extensions/ActiveTestSuite.java,0.0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,5.0,1,Execute test method expecting Exception class fExpected one subclasses thrown Execute the test method expecting that an Exception of class fExpected or one of it subclass will be thrown,0
r4.6,2009-04-14,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r4.7,2009-07-28,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r4.8,2009-12-01,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r4.9,2011-08-22,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r4.10,2011-09-29,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r4.11,2012-11-13,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r4.12,2014-12-04,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
master,2018-02-21,5a932d02b8a9f956ba503603,extensions/ExceptionTestCase.java,0.0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,4.0,1,Decorator Tests Use TestDecorator base class defining new test decorators Test decorator subclasses introduced add behaviour test run Decorator for Tests Use TestDecorator a the base class for defining new test decorator Test decorator subclass can be introduced to add behaviour before or after a test is run,0
r4.6,2009-04-14,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r4.7,2009-07-28,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r4.8,2009-12-01,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r4.9,2011-08-22,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r4.10,2011-09-29,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r4.11,2012-11-13,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r4.12,2014-12-04,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
master,2018-02-21,5a932d02b8a9f956ba503603,extensions/TestDecorator.java,0.0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,framework/Assert.java,6.0,1,set assert methods Messages displayed assert fails set of assert method Messages are only displayed when an assert fails,-1
r4.6,2009-04-14,5a932d02b8a9f956ba503603,framework/Assert.java,0.0,0,,0
r4.7,2009-07-28,5a932d02b8a9f956ba503603,framework/Assert.java,0.0,0,,0
