arquivo,2004-12-28,2009-04-14,2009-07-28,2009-12-01,2011-08-22,2011-09-29,2012-11-13,2014-12-04,2018-02-21
framework/Protectable.java,4,0,0,0,0,0,0,0,0
extensions/ActiveTestSuite.java,2,0,0,0,0,0,0,0,0
swingui/TestRunner.java,2,0,0,0,0,0,0,0,0
extensions/TestDecorator.java,4,0,0,0,0,0,0,0,0
framework/TestSuite.java,5,0,0,0,0,0,0,0,0
tests/framework/AssertTest.java,5,0,0,0,0,0,0,0,0
swingui/TestTreeModel.java,3,0,0,0,0,0,0,0,0
runner/TestSuiteLoader.java,5,0,0,0,0,0,0,0,0
textui/TestRunner.java,4,0,0,0,0,0,0,0,0
framework/TestCase.java,8,0,0,0,0,0,0,0,0
framework/Test.java,5,0,0,0,0,0,0,0,0
extensions/ExceptionTestCase.java,5,0,0,0,0,0,0,0,0
samples/money/Money.java,6,0,0,0,0,0,0,0,0
runner/TestCaseClassLoader.java,14,0,0,0,0,0,0,0,0
framework/TestResult.java,1,0,0,0,0,0,0,0,0
tests/extensions/AllTests.java,5,0,0,0,0,0,0,0,0
framework/TestListener.java,3,0,0,0,0,0,0,0,0
tests/framework/SuiteTest.java,3,0,0,0,0,0,0,0,0
framework/Assert.java,6,0,0,0,0,0,0,0,0
runner/BaseTestRunner.java,3,0,0,0,0,0,0,0,0
swingui/TestRunContext.java,4,0,0,0,0,0,0,0,0
samples/SimpleTest.java,3,0,0,0,0,0,0,0,0
samples/money/MoneyBag.java,2,0,0,0,0,0,0,0,0
src/main/java/org/junit/runner/Request.java,0,4,2,2,2,3,6,3,3
src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java,0,6,3,3,3,3,6,6,6
src/main/java/junit/extensions/TestDecorator.java,0,4,2,2,2,2,4,2,2
src/main/java/junit/extensions/ActiveTestSuite.java,0,2,2,2,2,2,4,2,2
src/test/java/junit/samples/SimpleTest.java,0,3,3,3,3,3,6,3,3
src/test/java/junit/tests/extensions/AllTests.java,0,5,2,2,2,2,5,2,2
src/main/java/org/junit/runner/JUnitCore.java,0,3,0,0,0,0,0,0,0
src/test/java/org/junit/tests/assertion/AssertionTest.java,0,5,2,2,2,2,5,2,2
src/test/java/junit/samples/money/Money.java,0,8,3,3,3,3,6,3,3
src/test/java/org/junit/tests/experimental/theories/runner/SuccessfulWithDataPointFields.java,0,5,2,2,2,2,5,2,2
src/main/java/org/junit/BeforeClass.java,0,17,9,9,9,9,19,9,9
src/test/java/org/junit/tests/running/core/SystemExitTest.java,0,1,1,1,1,1,3,1,1
src/main/java/org/junit/experimental/max/MaxCore.java,0,3,6,6,2,2,7,3,3
src/main/java/org/junit/experimental/runners/Enclosed.java,0,5,2,2,2,2,5,2,2
src/main/java/junit/textui/TestRunner.java,0,5,2,2,2,2,5,2,2
src/main/java/junit/framework/TestCase.java,0,8,4,4,4,4,8,4,4
src/test/java/org/junit/tests/experimental/max/MaxStarterTest.java,0,3,0,0,0,0,0,0,0
src/main/java/junit/framework/TestResult.java,0,5,2,2,2,2,3,1,1
src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java,0,3,0,0,0,0,0,0,0
src/test/java/org/junit/tests/experimental/max/MaxComputerTest.java,0,3,0,0,0,0,0,0,0
src/main/java/org/junit/ComparisonFailure.java,0,2,2,2,2,2,5,2,2
src/main/java/junit/framework/TestListener.java,0,3,3,3,3,3,6,3,3
src/main/java/org/junit/runners/model/InitializationError.java,0,3,1,1,1,1,3,1,1
src/test/java/org/junit/tests/experimental/theories/runner/TheoriesPerformanceTest.java,0,4,2,2,2,2,4,2,2
src/main/java/org/junit/runners/ParentRunner.java,0,6,2,2,3,0,0,0,0
src/main/java/org/junit/runners/Parameterized.java,0,5,2,2,2,2,5,19,24
src/main/java/org/junit/Assert.java,0,6,3,3,3,3,4,2,2
src/main/java/junit/framework/Test.java,0,4,2,2,2,2,4,2,2
src/main/java/org/junit/runner/notification/StoppedByUserException.java,0,5,2,2,2,2,5,2,2
src/test/java/org/junit/tests/running/core/CommandLineTest.java,0,3,1,1,1,1,3,0,0
src/main/java/org/junit/runners/model/TestClass.java,0,13,7,7,7,7,15,7,7
src/main/java/org/junit/runners/Suite.java,0,3,0,0,0,0,0,0,0
src/test/java/org/junit/tests/experimental/parallel/ParallelClassTest.java,0,5,2,2,2,2,4,0,0
src/main/java/junit/framework/Protectable.java,0,4,2,2,2,2,4,2,2
src/test/java/junit/samples/money/MoneyBag.java,0,4,2,2,2,2,4,2,2
src/main/java/org/junit/runner/manipulation/Filter.java,0,5,2,2,2,2,5,2,2
src/test/java/org/junit/tests/deprecated/JUnit4ClassRunnerTest.java,0,7,3,3,3,3,7,3,3
src/test/java/junit/tests/framework/AssertTest.java,0,5,5,5,2,5,5,2,2
src/main/java/junit/framework/Assert.java,0,6,3,3,3,3,6,6,6
src/main/java/org/junit/runner/manipulation/Filterable.java,0,0,0,0,0,0,0,0,0
src/main/java/org/junit/Before.java,0,5,2,2,2,2,5,2,2
src/test/java/junit/samples/money/IMoney.java,0,15,5,5,5,5,11,5,5
src/main/java/org/junit/AfterClass.java,0,10,5,5,5,5,10,5,5
src/main/java/org/junit/internal/InexactComparisonCriteria.java,0,13,1,0,0,0,0,0,0
src/main/java/org/junit/runners/JUnit4.java,0,13,6,6,6,6,13,6,6
src/main/java/org/junit/internal/ArrayComparisonFailure.java,0,3,3,3,3,3,6,3,3
src/main/java/org/junit/matchers/JUnitMatchers.java,0,4,2,2,2,2,4,3,3
src/main/java/org/junit/Ignore.java,0,9,4,4,4,4,9,4,4
src/main/java/org/junit/runner/Runner.java,0,10,5,5,5,5,10,5,5
src/main/java/org/junit/Assume.java,0,0,0,0,0,0,4,6,6
src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java,0,12,6,6,6,6,12,0,0
src/test/java/org/junit/tests/AllTests.java,0,9,3,3,3,3,7,3,0
src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java,0,6,9,9,6,7,14,10,10
src/main/java/junit/framework/TestSuite.java,0,1,1,1,1,1,3,1,1
src/main/java/org/junit/runner/notification/Failure.java,0,6,4,4,4,4,8,4,4
src/main/java/org/junit/internal/runners/ClassRoadie.java,0,12,6,6,6,6,12,6,6
src/main/java/org/junit/experimental/max/MaxHistory.java,0,3,2,2,2,2,5,2,2
src/main/java/org/junit/runner/Description.java,0,4,0,0,2,2,4,2,2
src/main/java/org/junit/runner/notification/RunNotifier.java,0,9,2,2,2,4,9,4,4
src/main/java/org/junit/runner/Result.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/runner/manipulation/Sortable.java,0,14,5,5,5,5,10,5,5
src/main/java/org/junit/runner/notification/RunListener.java,0,2,2,2,2,2,20,7,7
src/test/java/org/junit/tests/junit3compatibility/AllTestsTest.java,0,5,2,2,2,2,5,2,2
src/main/java/org/junit/runners/model/RunnerBuilder.java,0,3,4,4,4,4,9,4,4
src/test/java/junit/tests/framework/SuiteTest.java,0,11,8,8,3,3,6,3,3
src/main/java/org/junit/Test.java,0,2,2,2,2,2,24,21,21
src/main/java/org/junit/After.java,0,10,5,5,5,5,10,5,5
src/main/java/org/junit/experimental/theories/internal/Assignments.java,0,0,2,2,2,2,5,2,2
src/main/java/org/junit/rules/TemporaryFolder.java,0,0,2,2,4,4,5,7,12
src/main/java/org/junit/rules/TestWatchman.java,0,0,2,2,10,10,21,7,7
src/main/java/org/junit/runner/Computer.java,0,0,3,3,3,3,6,3,3
src/main/java/org/junit/rules/MethodRule.java,0,0,12,12,12,12,24,12,7
src/main/java/org/junit/experimental/results/PrintableResult.java,0,0,3,3,3,3,6,3,3
src/main/java/org/junit/internal/ComparisonCriteria.java,0,0,1,0,0,0,0,0,0
src/main/java/org/junit/runners/model/RunnerScheduler.java,0,0,5,5,5,5,11,5,5
src/main/java/org/junit/rules/ExpectedException.java,0,0,2,2,2,2,5,21,26
src/main/java/org/junit/Rule.java,0,0,2,2,18,18,36,15,15
src/main/java/org/junit/runners/model/FrameworkField.java,0,0,0,0,0,0,0,0,0
src/main/java/org/junit/rules/ErrorCollector.java,0,0,3,3,3,3,8,4,4
src/main/java/org/junit/ClassRule.java,0,0,0,0,4,4,9,6,6
src/main/java/org/junit/rules/TestRule.java,0,0,0,0,19,19,39,19,19
src/main/java/org/junit/rules/TestWatcher.java,0,0,0,0,3,2,7,3,3
src/main/java/org/junit/experimental/categories/Categories.java,0,0,0,0,3,3,4,2,2
src/main/java/org/junit/runners/model/FrameworkMethod.java,0,0,0,0,0,5,11,5,2
src/main/java/org/junit/experimental/theories/DataPoint.java,0,0,0,0,0,0,0,5,5
src/main/java/org/junit/experimental/theories/suppliers/TestedOn.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/FixMethodOrder.java,0,0,0,0,0,0,0,5,5
src/main/java/org/junit/validator/ValidateWith.java,0,0,0,0,0,0,0,2,2
src/test/java/org/junit/tests/internal/runners/statements/FailOnTimeoutTest.java,0,0,0,0,0,0,0,0,0
src/test/java/org/junit/tests/experimental/categories/MultiCategoryTest.java,0,0,0,0,0,0,0,2,0
src/main/java/org/junit/rules/Stopwatch.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/internal/Throwables.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/validator/AnnotationValidator.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/runners/model/TestTimedOutException.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/AssumptionViolatedException.java,0,0,0,0,0,0,0,5,5
src/main/java/org/junit/runners/model/Annotatable.java,0,0,0,0,0,0,0,3,3
src/main/java/org/junit/experimental/theories/Theory.java,0,0,0,0,0,0,0,2,2
src/main/java/junit/framework/TestFailure.java,0,0,0,0,0,0,0,3,3
src/main/java/org/junit/runner/JUnitCommandLineParseResult.java,0,0,0,0,0,0,0,1,1
src/main/java/org/junit/rules/Timeout.java,0,0,0,0,0,0,0,4,4
src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,0,0,0,0,0,0,0,3,3
src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java,0,0,0,0,0,0,0,3,3
src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java,0,0,0,0,0,0,0,3,3
src/main/java/org/junit/internal/builders/AnnotatedBuilder.java,0,0,0,0,0,0,0,6,6
src/main/java/org/junit/rules/DisableOnDebug.java,0,0,0,0,0,0,0,4,4
src/main/java/org/junit/experimental/categories/CategoryValidator.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/internal/requests/ClassRequest.java,0,0,0,0,0,0,0,3,3
src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/internal/AssumptionViolatedException.java,0,0,0,0,0,0,0,9,5
src/main/java/org/junit/internal/JUnitSystem.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/experimental/theories/DataPoints.java,0,0,0,0,0,0,0,10,10
src/test/java/org/junit/rules/DisableOnDebugTest.java,0,0,0,0,0,0,0,2,2
src/test/java/org/junit/tests/experimental/rules/RuleMemberValidatorTest.java,0,0,0,0,0,0,0,0,0
src/main/java/org/junit/experimental/theories/FromDataPoints.java,0,0,0,0,0,0,0,9,9
src/test/java/junit/tests/runner/ResultTest.java,0,0,0,0,0,0,0,2,2
src/test/java/org/junit/tests/experimental/rules/MethodRulesTest.java,0,0,0,0,0,0,0,2,0
src/main/java/org/junit/experimental/theories/Theories.java,0,0,0,0,0,0,0,10,14
src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java,0,0,0,0,0,0,0,2,2
src/main/java/org/junit/internal/management/ManagementFactory.java,0,0,0,0,0,0,0,0,2
